State  Frequency(eV)  OscillatorStrength  TransitionMoment_x  y  z  Trans.Dipole.Mom.(D) e-size(A)  RMS_e-h(A)  QTa  LOCa
1 518.1731 0.0036989659 -0.0108 -0.0024 -0.0130 0.043387 2.673758 3.968839 0.007164 0.0618
2 519.4636 0.0071912380 -0.0018 0.0162 0.0173 0.060420 2.979890 3.454465 0.007298 0.0860
3 519.6914 0.0000000000 0.0000 0.0000 0.0000 0.000000 2.531303 23.820986 0.000000 0.0000
4 519.9674 0.0015654244 -0.0029 0.0092 -0.0054 0.028176 3.187642 4.230240 0.002603 0.0360
5 520.4767 0.0022266496 0.0107 0.0078 0.0001 0.033588 3.037832 4.118391 0.003535 0.0469
6 520.8001 0.0000000000 0.0000 -0.0000 -0.0000 0.000000 3.166653 24.014389 0.000000 0.0000
7 520.9594 0.0103081368 0.0179 -0.0209 -0.0069 0.072234 3.145198 3.818256 0.003914 0.0400
8 521.1246 0.0096455942 0.0239 -0.0134 0.0027 0.069863 2.875419 3.845145 0.005505 0.0686
9 521.6517 0.0000000000 -0.0000 -0.0000 -0.0000 0.000000 2.969924 24.375960 0.000000 0.0000
10 522.2614 0.0037305458 -0.0092 0.0103 -0.0101 0.043401 3.138184 3.986308 0.002464 0.0341
11 522.3719 0.0000000000 0.0000 0.0000 0.0000 0.000000 3.145655 23.669910 0.000000 0.0000
12 522.8464 0.0019019682 -0.0045 -0.0108 -0.0035 0.030972 3.126978 4.003917 0.000968 0.0571
13 523.7110 0.0074346022 0.0113 -0.0071 0.0200 0.061184 2.836247 3.561742 0.002474 0.0705
14 524.1291 0.0043284929 -0.0166 0.0079 -0.0008 0.046666 2.890847 3.409900 0.002268 0.0789
15 524.6633 0.0152036222 -0.0136 -0.0234 -0.0212 0.087415 2.671478 2.707532 0.004406 0.0837
16 524.7882 0.0059301988 -0.0040 -0.0102 0.0185 0.054588 2.938867 3.913729 0.001608 0.0432
17 525.0278 0.0014777006 0.0087 0.0058 -0.0024 0.027243 2.797667 3.614813 0.002282 0.0658
18 525.2690 0.0000000000 -0.0000 0.0000 0.0000 0.000000 2.604467 23.942924 0.000000 0.0000
19 525.3222 0.0006725751 0.0027 0.0063 -0.0023 0.018374 3.563873 3.984698 0.002172 0.1052
20 525.6926 0.0051550868 0.0189 0.0059 -0.0030 0.050852 2.869256 3.524549 0.001516 0.0432
21 525.8013 0.0010089846 0.0032 0.0001 0.0082 0.022495 3.469321 4.157249 0.001199 0.0333
22 525.9292 0.0000000000 -0.0000 0.0000 0.0000 0.000000 2.681194 24.562673 0.000000 0.0000
23 526.0317 0.0000400171 -0.0004 0.0006 -0.0016 0.004479 2.998589 4.025735 0.000899 0.0401
24 526.3762 0.0000000000 0.0000 -0.0000 -0.0000 0.000000 2.767914 24.196803 0.000000 0.0000
25 526.4811 0.0025931721 0.0133 0.0049 0.0001 0.036039 3.041736 4.020811 0.002951 0.0697
26 526.5628 0.0025831802 0.0015 -0.0131 0.0052 0.035967 2.902204 4.094976 0.001280 0.0478
27 526.8451 0.0000000000 -0.0000 -0.0000 -0.0000 0.000000 2.620325 23.664721 0.000000 0.0000
28 526.9346 0.0000000000 0.0000 0.0000 -0.0000 0.000000 2.655923 24.331016 0.000000 0.0000
29 527.0045 0.0067232175 -0.0096 0.0005 0.0207 0.058001 3.119812 3.620906 0.002572 0.0623
30 527.1469 0.0000000000 -0.0000 -0.0000 -0.0000 0.000000 2.434494 23.254598 0.000000 0.0000
31 527.3493 0.0007316906 0.0061 -0.0019 -0.0040 0.019128 3.103567 4.156657 0.001850 0.0517
32 527.4464 0.0000000000 -0.0000 0.0000 -0.0000 0.000000 2.719727 24.202706 0.000000 0.0000
33 527.7418 0.0004322075 0.0037 0.0032 -0.0031 0.014696 3.114497 3.798605 0.000542 0.0650
34 527.7776 0.0005413371 0.0037 0.0005 -0.0053 0.016446 2.937362 4.351697 0.000840 0.0492
35 527.9905 0.0027605889 -0.0086 0.0088 0.0079 0.037131 3.319121 4.047347 0.001893 0.0636
36 528.3128 0.0019112204 -0.0020 0.0120 -0.0003 0.030886 3.098513 3.787041 0.000826 0.0352
37 528.5658 0.0101982218 -0.0109 0.0258 0.0017 0.071329 2.990194 3.185511 0.002361 0.1128
38 528.6523 0.0000000000 0.0000 0.0000 0.0000 0.000000 2.857217 23.779587 0.000000 0.0000
39 528.8846 0.0028885868 0.0118 -0.0040 -0.0083 0.037950 3.137957 3.762291 0.001324 0.0662
40 529.0579 0.0000000000 0.0000 0.0000 -0.0000 0.000000 2.804479 24.523017 0.000000 0.0000
41 529.5997 0.0005794443 0.0002 -0.0066 0.0012 0.016986 3.028600 3.933608 0.000945 0.0580
42 529.6732 0.0000000000 -0.0000 -0.0000 0.0000 0.000000 2.759534 23.901486 0.000000 0.0000
43 529.8085 0.0014011542 0.0102 -0.0013 -0.0016 0.026408 3.116462 3.745254 0.001201 0.0969
44 530.2806 0.0000000000 -0.0000 0.0000 0.0000 0.000000 3.010143 23.971741 0.000000 0.0000
45 530.5059 0.0003057745 0.0029 0.0030 0.0025 0.012328 3.256873 4.030383 0.001264 0.0554
46 530.5610 0.0011999106 0.0059 -0.0036 -0.0067 0.024421 3.037745 3.476753 0.001451 0.0621
