Gaussian broadening with full width at half max of   2.000   eV
        Energy(eV)              Intensity (arb. units)
   500.00000000000000        1.3343882209657833E-110
   500.00999999999999        1.7339381748428773E-110
   500.01999999999998        2.2528112738619879E-110
   500.02999999999997        2.9265490498153782E-110
   500.04000000000002        3.8012514428466597E-110
   500.05000000000001        4.9367050737451951E-110
   500.06000000000000        6.4104358892864497E-110
   500.06999999999999        8.3229585881455564E-110
   500.07999999999998        1.0804575294638608E-109
   500.08999999999997        1.4024179472054748E-109
   500.10000000000002        1.8200654915693978E-109
   500.11000000000001        2.3617632695261447E-109
   500.12000000000000        3.0642592566105093E-109
   500.13000000000000        3.9751584404648677E-109
   500.13999999999999        5.1561218712789063E-109
   500.14999999999998        6.6870057783388044E-109
   500.16000000000003        8.6712162484026746E-109
   500.17000000000002        1.1242635477655877E-108
   500.18000000000001        1.4574579592204077E-108
   500.19000000000000        1.8891382302107742E-108
   500.19999999999999        2.4483372009691416E-108
   500.20999999999998        3.1726233778657268E-108
   500.22000000000003        4.1106036417361332E-108
   500.23000000000002        5.3251577698872473E-108
   500.24000000000001        6.8976181749915658E-108
   500.25000000000000        8.9331703226755978E-108
   500.25999999999999        1.1567829345587810E-107
   500.26999999999998        1.4977451628986718E-107
   500.27999999999997        1.9389373307280389E-107
   500.29000000000002        2.5097439320272860E-107
   500.30000000000001        3.2481408057577256E-107
   500.31000000000000        4.2032001999056015E-107
   500.31999999999999        5.4383242585002864E-107
   500.32999999999998        7.0354181579229761E-107
   500.33999999999997        9.1002751994448874E-107
   500.35000000000002        1.1769524859056222E-106
   500.36000000000001        1.5219596167805400E-106
   500.37000000000000        1.9678279363640162E-106
   500.38000000000000        2.5439636902332372E-106
   500.38999999999999        3.2883231427939999E-106
   500.39999999999998        4.2498917052827180E-106
   500.41000000000003        5.4918799124700679E-106
   500.42000000000002        7.0958429501150770E-106
   500.43000000000001        9.1669898704867224E-106
   500.44000000000000        1.1841025109890821E-105
   500.44999999999999        1.5292963313468113E-105
   500.45999999999998        1.9748485039310567E-105
   500.47000000000003        2.5498563702391743E-105
   500.48000000000002        3.2918303464842691E-105
   500.49000000000001        4.2491196961758001E-105
   500.50000000000000        5.4840357821606969E-105
   500.50999999999999        7.0768727801430435E-105
   500.51999999999998        9.1310830124836193E-105
   500.52999999999997        1.1779937538823576E-104
   500.54000000000002        1.5195097052717529E-104
   500.55000000000001        1.9597639428330028E-104
   500.56000000000000        2.5272246071476403E-104
   500.56999999999999        3.2585449346135496E-104
   500.57999999999998        4.2009100337132641E-104
   500.58999999999997        5.4150546185190778E-104
   500.60000000000002        6.9791429862887367E-104
   500.61000000000001        8.9937569053001736E-104
   500.62000000000000        1.1588306873293335E-103
   500.63000000000000        1.4929271772111719E-103
   500.63999999999999        1.9230786866248653E-103
   500.64999999999998        2.4768247528503336E-103
   500.66000000000003        3.1895785197828807E-103
   500.67000000000002        4.1068714634105607E-103
   500.68000000000001        5.2872362589166069E-103
   500.69000000000000        6.8059086844448063E-103
   500.69999999999999        8.7595805876853343E-103
   500.70999999999998        1.1272501482894580E-102
   500.72000000000003        1.4504310347648762E-102
   500.73000000000002        1.8660086834408164E-102
   500.74000000000001        2.4003249038370102E-102
   500.75000000000000        3.0872101661145223E-102
   500.75999999999999        3.9701064749367125E-102
   500.76999999999998        5.1047903070809602E-102
   500.77999999999997        6.5628647407163056E-102
   500.79000000000002        8.4362374344417336E-102
   500.80000000000001        1.0842861962615784E-101
   500.81000000000000        1.3934097901547244E-101
   500.81999999999999        1.7904144745221571E-101
   500.82999999999998        2.3002132292487499E-101
   500.83999999999997        2.9547613362337932E-101
   500.85000000000002        3.7950413495716565E-101
   500.86000000000001        4.8736059385314817E-101
   500.87000000000000        6.2578349360534618E-101
   500.88000000000000        8.0341066059189021E-101
   500.88999999999999        1.0313138991187630E-100
   500.89999999999998        1.3236828604252521E-100
   500.91000000000003        1.6987004981210617E-100
   500.92000000000002        2.1796636260101658E-100
   500.93000000000001        2.7964169988887530E-100
   500.94000000000000        3.5871883801351638E-100
   500.94999999999999        4.6009363878036081E-100
   500.95999999999998        5.9003539853039983E-100
   500.97000000000003        7.5657101691266686E-100
   500.98000000000002        9.6997630838550525E-100
   500.99000000000001        1.2434042499319869E-099
   501.00000000000000        1.5936882185972326E-099
   501.00999999999999        2.0423688158982153E-099
   501.01999999999998        2.6170063320440870E-099
   501.02999999999997        3.3528580734158406E-099
   501.04000000000002        4.2950216842295629E-099
   501.05000000000001        5.5011735405611334E-099
   501.06000000000000        7.0450669422847607E-099
   501.06999999999999        9.0210002905519489E-099
   501.07999999999998        1.1549523410146134E-098
   501.08999999999997        1.4784724088272048E-098
   501.10000000000002        1.8923531124633857E-098
   501.11000000000001        2.4217590285915502E-098
   501.12000000000000        3.0988422616204648E-098
   501.13000000000000        3.9646769589090865E-098
   501.13999999999999        5.0717278077519649E-098
   501.14999999999998        6.4869994667027933E-098
   501.16000000000003        8.2960542033266975E-098
   501.17000000000002        1.0608136358761961E-097
   501.18000000000001        1.3562707644475635E-097
   501.19000000000000        1.7337780522668057E-097
   501.19999999999999        2.2160542894539321E-097
   501.20999999999998        2.8320902203980874E-097
   501.22000000000003        3.6188748722206642E-097
   501.23000000000002        4.6235956205782911E-097
   501.24000000000001        5.9064416021755366E-097
   501.25000000000000        7.5441754348279557E-097
   501.25999999999999        9.6346831704598750E-097
   501.26999999999998        1.2302769589282240E-096
   501.27999999999997        1.5707538654905862E-096
   501.29000000000002        2.0051791394047937E-096
   501.30000000000001        2.5593990978904953E-096
   501.31000000000000        3.2663494154221992E-096
   501.31999999999999        4.1679937967254179E-096
   501.32999999999998        5.3177911952724175E-096
   501.33999999999997        6.7838352355631398E-096
   501.35000000000002        8.6528484235117387E-096
   501.36000000000001        1.1035263169966558E-095
   501.37000000000000        1.4071684439569051E-095
   501.38000000000000        1.7941108561358757E-095
   501.38999999999999        2.2871373954872581E-095
   501.39999999999998        2.9152448010569729E-095
   501.41000000000003        3.7153317440214535E-095
   501.42000000000002        4.7343456364241731E-095
   501.43000000000001        6.0320108998107462E-095
   501.44000000000000        7.6842956947551469E-095
   501.44999999999999        9.7878163726824581E-095
   501.45999999999998        1.2465432511167719E-094
   501.47000000000003        1.5873353366550295E-094
   501.48000000000002        2.0210162764718225E-094
   501.49000000000001        2.5728278718619212E-094
   501.50000000000000        3.2748502568725112E-094
   501.50999999999999        4.1678487993243367E-094
   501.51999999999998        5.3036182700571816E-094
   501.52999999999997        6.7479577497377876E-094
   501.54000000000002        8.5844454539053790E-094
   501.55000000000001        1.0919227892906846E-093
   501.56000000000000        1.3887095076717340E-093
   501.56999999999999        1.7659186027786640E-093
   501.57999999999998        2.2452760731078734E-093
   501.58999999999997        2.8543590952062193E-093
   501.60000000000002        3.6281669570698803E-093
   501.61000000000001        4.6111124403120752E-093
   501.62000000000000        5.8595458269594963E-093
   501.63000000000000        7.4449535401740114E-093
   501.63999999999999        9.4580111709335712E-093
   501.64999999999998        1.2013718384170283E-092
   501.66000000000003        1.5257903578843618E-092
   501.67000000000002        1.9375462532051742E-092
   501.68000000000001        2.4600791800991682E-092
   501.69000000000000        3.1230999706956051E-092
   501.69999999999999        3.9642632002392434E-092
   501.70999999999998        5.0312844303954035E-092
   501.72000000000003        6.3846199768639171E-092
   501.73000000000002        8.1008581806773769E-092
   501.74000000000001        1.0277010491942909E-091
   501.75000000000000        1.3035940352683481E-091
   501.75999999999999        1.6533230607173508E-091
